id,player1_id,player2_id,winner_id,battle_date,battle_datetime,battle_timestamp
51,6,90,90,2024-10-01,2024-10-01 17:18:25,1727803105
118,40,51,"",2024-10-01,2024-10-01 11:12:49,1727781169
145,32,41,32,2024-10-01,2024-10-01 22:43:11,1727822591
184,20,84,20,2024-10-01,2024-10-01 18:04:00,1727805840
241,19,82,"",2024-10-01,2024-10-01 17:14:38,1727802878
254,79,36,36,2024-10-01,2024-10-01 18:30:39,1727807439
260,69,21,21,2024-10-01,2024-10-01 21:55:47,1727819747
282,21,60,21,2024-10-01,2024-10-01 17:09:24,1727802564
323,40,39,40,2024-10-01,2024-10-01 05:17:02,1727759822
400,47,41,47,2024-10-01,2024-10-01 04:53:42,1727758422
432,61,70,70,2024-10-01,2024-10-01 16:03:59,1727798639
442,18,17,18,2024-10-01,2024-10-01 23:18:50,1727824730
472,65,83,83,2024-10-01,2024-10-01 00:45:42,1727743542
477,21,33,33,2024-10-01,2024-10-01 02:41:21,1727750481
