id,player1_id,player2_id,winner_id,battle_date,battle_datetime,battle_timestamp
4,73,65,65,2024-10-04,2024-10-04 18:04:58,1728065098
37,29,86,86,2024-10-04,2024-10-04 13:04:01,1728047041
44,74,83,83,2024-10-04,2024-10-04 23:13:57,1728083637
53,87,7,87,2024-10-04,2024-10-04 08:21:46,1728030106
65,53,44,44,2024-10-04,2024-10-04 02:16:15,1728008175
159,45,63,63,2024-10-04,2024-10-04 09:31:16,1728034276
176,30,61,61,2024-10-04,2024-10-04 15:21:22,1728055282
214,72,65,"",2024-10-04,2024-10-04 19:03:58,1728068638
224,53,56,53,2024-10-04,2024-10-04 08:11:23,1728029483
226,66,2,2,2024-10-04,2024-10-04 17:41:14,1728063674
235,35,63,35,2024-10-04,2024-10-04 22:42:22,1728081742
343,10,42,42,2024-10-04,2024-10-04 16:45:03,1728060303
385,14,47,14,2024-10-04,2024-10-04 13:08:32,1728047312
450,38,20,38,2024-10-04,2024-10-04 02:28:55,1728008935
474,45,83,83,2024-10-04,2024-10-04 10:43:08,1728038588
478,68,14,"",2024-10-04,2024-10-04 06:38:05,1728023885
