id,player1_id,player2_id,winner_id,battle_date,battle_datetime,battle_timestamp
1,61,49,61,2024-10-03,2024-10-03 17:35:25,1727976925
16,27,42,42,2024-10-03,2024-10-03 00:24:04,1727915044
21,64,21,64,2024-10-03,2024-10-03 11:08:14,1727953694
48,3,30,30,2024-10-03,2024-10-03 19:19:05,1727983145
52,75,46,46,2024-10-03,2024-10-03 05:12:49,1727932369
72,76,75,75,2024-10-03,2024-10-03 01:28:38,1727918918
110,11,42,11,2024-10-03,2024-10-03 07:21:00,1727940060
123,49,56,49,2024-10-03,2024-10-03 21:36:12,1727991372
172,25,58,58,2024-10-03,2024-10-03 12:32:46,1727958766
173,4,58,58,2024-10-03,2024-10-03 02:07:36,1727921256
179,2,85,"",2024-10-03,2024-10-03 22:18:25,1727993905
183,42,14,14,2024-10-03,2024-10-03 22:01:54,1727992914
238,8,43,8,2024-10-03,2024-10-03 22:22:50,1727994170
262,55,77,77,2024-10-03,2024-10-03 09:13:52,1727946832
309,71,59,59,2024-10-03,2024-10-03 02:31:54,1727922714
331,39,31,39,2024-10-03,2024-10-03 13:00:26,1727960426
344,45,84,84,2024-10-03,2024-10-03 19:44:10,1727984650
374,24,46,46,2024-10-03,2024-10-03 07:41:06,1727941266
447,30,84,30,2024-10-03,2024-10-03 03:34:48,1727926488
